 minimum eigenvalues =   4.941846816657214E-007  6.033484297786003E-007
  7.784536289879900E-007
 maximum eigenvalues =   3.096817958781036E-002  1.157993503354801E-002
  8.325909975506531E-003
 num eigs kept =           85
 minimum eigenvalues =   4.941846816657214E-007  6.033484297786003E-007
  7.784536289879900E-007
 maximum eigenvalues =   3.096817958781036E-002  1.157993503354801E-002
  8.325909975506531E-003
 num eigs kept =           85
 iter     1 lrate =  0.0500000000 LL =   3.8257812415 nd =  0.0570992020, D =   0.29422E-01  0.29422E-01  (  8.58 s,   0.5 h)
 iter    20 lrate =  0.0250000000 LL =   4.5648121132 nd =  0.1452765165, D =   0.45791E+01  0.45791E+01  (  6.24 s,   0.3 h)
 iter    21 lrate =  0.0250000000 LL =   4.5729591832 nd =  0.1752824568, D =   0.47271E+01  0.47271E+01  ( 13.62 s,   0.7 h)
 iter    22 lrate =  0.0250000000 LL =   4.5472606229 nd =  0.1729152294, D =   0.48975E+01  0.48975E+01  (  7.45 s,   0.4 h)
 iter    23 lrate =  0.0125000000 LL =   4.5795980559 nd =  0.1269225426, D =   0.49421E+01  0.49421E+01  (  7.12 s,   0.3 h)
 iter    24 lrate =  0.0125000000 LL =   4.5818097102 nd =  0.2224288604, D =   0.50098E+01  0.50098E+01  (  7.28 s,   0.4 h)
 iter    25 lrate =  0.0125000000 LL =   4.5779370762 nd =  0.1815987931, D =   0.50829E+01  0.50829E+01  (  5.71 s,   0.3 h)
 iter    26 lrate =  0.0125000000 LL =   4.5856792143 nd =  0.1865674239, D =   0.51474E+01  0.51474E+01  (  5.45 s,   0.3 h)
 iter    27 lrate =  0.0125000000 LL =   4.5902170261 nd =  0.2136429885, D =   0.52150E+01  0.52150E+01  (  6.24 s,   0.3 h)
 iter    28 lrate =  0.0125000000 LL =   4.5654499784 nd =  0.2334062346, D =   0.52930E+01  0.52930E+01  (  6.25 s,   0.3 h)
 iter    29 lrate =  0.0125000000 LL =   4.5843223046 nd =  0.2290161156, D =   0.53490E+01  0.53490E+01  (  6.15 s,   0.3 h)
 iter    30 lrate =  0.0125000000 LL =   4.5813910387 nd =  0.2235802125, D =   0.54211E+01  0.54211E+01  (  5.47 s,   0.3 h)
 iter    31 lrate =  0.0062500000 LL =   4.5993505821 nd =  0.1419794056, D =   0.54438E+01  0.54438E+01  ( 12.97 s,   0.6 h)
 iter    32 lrate =  0.0062500000 LL =   4.6041618137 nd =  0.2470465163, D =   0.54753E+01  0.54753E+01  (  5.53 s,   0.3 h)
 iter    33 lrate =  0.0062500000 LL =   4.5890079108 nd =  0.3216413822, D =   0.55095E+01  0.55095E+01  (  6.47 s,   0.3 h)
 iter    34 lrate =  0.0062500000 LL =   4.5904565929 nd =  0.2817309202, D =   0.55397E+01  0.55397E+01  (  5.41 s,   0.2 h)
 iter    35 lrate =  0.0062500000 LL =   4.5997473297 nd =  0.2318835074, D =   0.55694E+01  0.55694E+01  (  4.59 s,   0.2 h)
 iter    36 lrate =  0.0062500000 LL =   4.5993198947 nd =  0.2687113953, D =   0.56008E+01  0.56008E+01  (  4.25 s,   0.2 h)
 iter    37 lrate =  0.0062500000 LL =   4.5966513104 nd =  0.2800213001, D =   0.56323E+01  0.56323E+01  (  3.79 s,   0.2 h)
 iter    38 lrate =  0.0031250000 LL =   4.6103370618 nd =  0.1209033423, D =   0.56444E+01  0.56444E+01  (  4.15 s,   0.2 h)
 iter    39 lrate =  0.0031250000 LL =   4.6145306905 nd =  0.1890531038, D =   0.56597E+01  0.56597E+01  (  4.57 s,   0.2 h)
 iter    40 lrate =  0.0031250000 LL =   4.6102631520 nd =  0.3763937170, D =   0.56744E+01  0.56744E+01  (  4.56 s,   0.2 h)
 iter    41 lrate =  0.0031250000 LL =   4.5983054513 nd =  0.4100493210, D =   0.56923E+01  0.56923E+01  ( 12.04 s,   0.5 h)
 iter    42 lrate =  0.0031250000 LL =   4.6075153100 nd =  0.2914697145, D =   0.57050E+01  0.57050E+01  (  4.05 s,   0.2 h)
 iter    43 lrate =  0.0031250000 LL =   4.6110227469 nd =  0.2884609134, D =   0.57205E+01  0.57205E+01  (  4.09 s,   0.2 h)
 iter    44 lrate =  0.0031250000 LL =   4.6085206539 nd =  0.3526114801, D =   0.57347E+01  0.57347E+01  (  4.90 s,   0.2 h)
 iter    45 lrate =  0.0015625000 LL =   4.6178885042 nd =  0.0672974032, D =   0.57418E+01  0.57418E+01  (  4.82 s,   0.2 h)
 iter    46 lrate =  0.0015625000 LL =   4.6201859137 nd =  0.0948584146, D =   0.57489E+01  0.57489E+01  (  4.06 s,   0.2 h)
 iter    47 lrate =  0.0015625000 LL =   4.6204985582 nd =  0.1929856598, D =   0.57563E+01  0.57563E+01  (  4.51 s,   0.2 h)
 iter    48 lrate =  0.0015625000 LL =   4.6182076128 nd =  0.3540406662, D =   0.57635E+01  0.57635E+01  (  4.49 s,   0.2 h)
 iter    49 lrate =  0.0015625000 LL =   4.6136376194 nd =  0.4116481406, D =   0.57715E+01  0.57715E+01  (  4.25 s,   0.2 h)
 iter    50 lrate =  0.0015625000 LL =   4.6156375335 nd =  0.0028942947, D =   0.57782E+01  0.57782E+01  (  4.34 s,   0.2 h)
 iter    51 lrate =  0.0031250000 LL =   4.6157526428 nd =  0.0028892983, D =   0.57788E+01  0.57788E+01  ( 11.62 s,   0.5 h)
 iter    52 lrate =  0.0062500000 LL =   4.6158570445 nd =  0.0028897468, D =   0.57800E+01  0.57800E+01  (  3.99 s,   0.2 h)
 iter    53 lrate =  0.0125000000 LL =   4.6160004751 nd =  0.0028875136, D =   0.57825E+01  0.57825E+01  (  4.43 s,   0.2 h)
