 minimum eigenvalues =   4.083839407946686E-007  4.442708756298749E-007
  5.097830153459833E-007
 maximum eigenvalues =   3.373783201876297E-002  2.415692023060537E-002
  1.010673374372872E-002
 num eigs kept =           87
 minimum eigenvalues =   4.083839407946686E-007  4.442708756298749E-007
  5.097830153459833E-007
 maximum eigenvalues =   3.373783201876297E-002  2.415692023060537E-002
  1.010673374372872E-002
 num eigs kept =           87
 iter     1 lrate =  0.0500000000 LL =   4.0203979752 nd =  0.0525371157, D =   0.31131E-01  0.31131E-01  (  7.29 s,   0.4 h)
 iter    29 lrate =  0.0250000000 LL =   4.6388072073 nd =  0.0812984670, D =   0.49092E+01  0.49092E+01  (  9.19 s,   0.4 h)
 iter    30 lrate =  0.0250000000 LL =   4.6393682420 nd =  0.0826152896, D =   0.49775E+01  0.49775E+01  (  8.00 s,   0.4 h)
 iter    31 lrate =  0.0250000000 LL =   4.6402419163 nd =  0.0828114299, D =   0.50397E+01  0.50397E+01  ( 13.65 s,   0.6 h)
 iter    32 lrate =  0.0250000000 LL =   4.6408145589 nd =  0.0823076921, D =   0.50984E+01  0.50984E+01  (  6.26 s,   0.3 h)
 iter    33 lrate =  0.0250000000 LL =   4.6417255624 nd =  0.0824613125, D =   0.51512E+01  0.51512E+01  (  6.22 s,   0.3 h)
 iter    34 lrate =  0.0250000000 LL =   4.6420263959 nd =  0.0829146444, D =   0.52014E+01  0.52014E+01  (  5.88 s,   0.3 h)
 iter    35 lrate =  0.0250000000 LL =   4.6428279523 nd =  0.0826513010, D =   0.52460E+01  0.52460E+01  (  5.84 s,   0.3 h)
 iter    36 lrate =  0.0250000000 LL =   4.6431368892 nd =  0.0826991479, D =   0.52885E+01  0.52885E+01  (  6.20 s,   0.3 h)
 iter    37 lrate =  0.0250000000 LL =   4.6438503872 nd =  0.0826686711, D =   0.53261E+01  0.53261E+01  (  6.21 s,   0.3 h)
 iter    38 lrate =  0.0250000000 LL =   4.6440692417 nd =  0.0828389676, D =   0.53622E+01  0.53622E+01  (  6.51 s,   0.3 h)
 iter    39 lrate =  0.0250000000 LL =   4.6447355675 nd =  0.0826779294, D =   0.53940E+01  0.53940E+01  (  6.20 s,   0.3 h)
 iter    40 lrate =  0.0250000000 LL =   4.6449288685 nd =  0.0828337005, D =   0.54249E+01  0.54249E+01  (  6.73 s,   0.3 h)
 iter    41 lrate =  0.0250000000 LL =   4.6455394959 nd =  0.0827273723, D =   0.54521E+01  0.54521E+01  ( 12.89 s,   0.6 h)
 iter    42 lrate =  0.0250000000 LL =   4.6457058572 nd =  0.0828554567, D =   0.54787E+01  0.54787E+01  (  6.95 s,   0.3 h)
 iter    43 lrate =  0.0250000000 LL =   4.6462793423 nd =  0.0827132775, D =   0.55022E+01  0.55022E+01  (  6.51 s,   0.3 h)
 iter    44 lrate =  0.0250000000 LL =   4.6464263311 nd =  0.0828392485, D =   0.55254E+01  0.55254E+01  (  5.49 s,   0.2 h)
 iter    45 lrate =  0.0250000000 LL =   4.6469642551 nd =  0.0827484277, D =   0.55458E+01  0.55458E+01  (  5.65 s,   0.2 h)
 iter    46 lrate =  0.0250000000 LL =   4.6470901912 nd =  0.0828604095, D =   0.55661E+01  0.55661E+01  (  5.85 s,   0.3 h)
 iter    47 lrate =  0.0250000000 LL =   4.6476061896 nd =  0.0827621266, D =   0.55839E+01  0.55839E+01  (  6.64 s,   0.3 h)
 iter    48 lrate =  0.0250000000 LL =   4.6477157336 nd =  0.0828821402, D =   0.56019E+01  0.56019E+01  (  6.74 s,   0.3 h)
 iter    49 lrate =  0.0250000000 LL =   4.6482072542 nd =  0.0827676794, D =   0.56176E+01  0.56176E+01  (  6.61 s,   0.3 h)
 iter    50 lrate =  0.0250000000 LL =   4.6483095333 nd =  0.0025272493, D =   0.56335E+01  0.56335E+01  (  9.06 s,   0.4 h)
 iter    51 lrate =  0.0500000000 LL =   4.6486330677 nd =  0.0025160410, D =   0.56336E+01  0.56336E+01  ( 16.32 s,   0.7 h)
 iter    52 lrate =  0.1000000000 LL =   4.6492209109 nd =  0.0025043075, D =   0.56340E+01  0.56340E+01  (  6.28 s,   0.3 h)
 iter    53 lrate =  0.2000000000 LL =   4.6503278216 nd =  0.0025076352, D =   0.56352E+01  0.56352E+01  (  6.82 s,   0.3 h)
 iter    54 lrate =  0.3000000000 LL =   4.6519169985 nd =  0.0025284045, D =   0.56376E+01  0.56376E+01  (  6.82 s,   0.3 h)
 iter    55 lrate =  0.4000000000 LL =   4.6538793351 nd =  0.0025191400, D =   0.56417E+01  0.56417E+01  (  6.79 s,   0.3 h)
 iter    56 lrate =  0.5000000000 LL =   4.6559845306 nd =  0.0024135789, D =   0.56474E+01  0.56474E+01  (  7.11 s,   0.3 h)
 iter    57 lrate =  0.6000000000 LL =   4.6579008535 nd =  0.0022136569, D =   0.56546E+01  0.56546E+01  (  7.91 s,   0.3 h)
 iter    58 lrate =  0.7000000000 LL =   4.6594451534 nd =  0.0020370012, D =   0.56627E+01  0.56627E+01  (  6.91 s,   0.3 h)
 iter    59 lrate =  0.8000000000 LL =   4.6607128849 nd =  0.0019185673, D =   0.56714E+01  0.56714E+01  (  6.54 s,   0.3 h)
 iter    60 lrate =  0.9000000000 LL =   4.6618782052 nd =  0.0018232281, D =   0.56805E+01  0.56805E+01  (  7.08 s,   0.3 h)
 iter    61 lrate =  1.0000000000 LL =   4.6630157916 nd =  0.0017248699, D =   0.56899E+01  0.56899E+01  ( 14.40 s,   0.6 h)
 iter    62 lrate =  1.0000000000 LL =   4.6640380779 nd =  0.0016341951, D =   0.56987E+01  0.56987E+01  (  6.47 s,   0.2 h)
 iter    63 lrate =  1.0000000000 LL =   4.6649623922 nd =  0.0015518655, D =   0.57071E+01  0.57071E+01  (  5.81 s,   0.2 h)
 iter    64 lrate =  1.0000000000 LL =   4.6658009946 nd =  0.0014740758, D =   0.57154E+01  0.57154E+01  (  6.51 s,   0.2 h)
 iter    65 lrate =  1.0000000000 LL =   4.6665612657 nd =  0.0014055812, D =   0.57232E+01  0.57232E+01  (  6.66 s,   0.2 h)
 iter    66 lrate =  1.0000000000 LL =   4.6672563637 nd =  0.0013566811, D =   0.57307E+01  0.57307E+01  (  6.68 s,   0.2 h)
 iter    67 lrate =  1.0000000000 LL =   4.6678998897 nd =  0.0013272846, D =   0.57373E+01  0.57373E+01  (  6.62 s,   0.2 h)
 iter    68 lrate =  1.0000000000 LL =   4.6685065137 nd =  0.0013170359, D =   0.57429E+01  0.57429E+01  (  6.61 s,   0.2 h)
 iter    69 lrate =  1.0000000000 LL =   4.6690901076 nd =  0.0013286846, D =   0.57469E+01  0.57469E+01  (  7.32 s,   0.3 h)
 iter    70 lrate =  1.0000000000 LL =   4.6696620789 nd =  0.0013496685, D =   0.57499E+01  0.57499E+01  (  6.32 s,   0.2 h)
 iter    71 lrate =  1.0000000000 LL =   4.6702289193 nd =  0.0013538783, D =   0.57518E+01  0.57518E+01  ( 13.39 s,   0.5 h)
 iter    72 lrate =  1.0000000000 LL =   4.6707853339 nd =  0.0013225817, D =   0.57531E+01  0.57531E+01  (  6.22 s,   0.2 h)
 iter    73 lrate =  1.0000000000 LL =   4.6713161900 nd =  0.0012450193, D =   0.57541E+01  0.57541E+01  (  6.28 s,   0.2 h)
 iter    74 lrate =  1.0000000000 LL =   4.6718036891 nd =  0.0011341995, D =   0.57555E+01  0.57555E+01  (  7.26 s,   0.3 h)
 iter    75 lrate =  1.0000000000 LL =   4.6722371849 nd =  0.0010158191, D =   0.57574E+01  0.57574E+01  (  6.70 s,   0.2 h)
 iter    76 lrate =  1.0000000000 LL =   4.6726181622 nd =  0.0009122666, D =   0.57599E+01  0.57599E+01  (  6.02 s,   0.2 h)
 iter    77 lrate =  1.0000000000 LL =   4.6729553931 nd =  0.0008410798, D =   0.57627E+01  0.57627E+01  (  6.44 s,   0.2 h)
 iter    78 lrate =  1.0000000000 LL =   4.6732626651 nd =  0.0007953224, D =   0.57658E+01  0.57658E+01  (  7.48 s,   0.3 h)
 iter    79 lrate =  1.0000000000 LL =   4.6735482521 nd =  0.0007635720, D =   0.57690E+01  0.57690E+01  (  6.88 s,   0.2 h)
 iter    80 lrate =  1.0000000000 LL =   4.6738180343 nd =  0.0007435759, D =   0.57721E+01  0.57721E+01  (  7.33 s,   0.2 h)
 iter    81 lrate =  1.0000000000 LL =   4.6740767478 nd =  0.0007329562, D =   0.57754E+01  0.57754E+01  ( 14.35 s,   0.5 h)
 iter    82 lrate =  1.0000000000 LL =   4.6743262480 nd =  0.0007317331, D =   0.57786E+01  0.57786E+01  (  6.20 s,   0.2 h)
 iter    83 lrate =  1.0000000000 LL =   4.6745691075 nd =  0.0007432163, D =   0.57819E+01  0.57819E+01  (  6.39 s,   0.2 h)
 iter    84 lrate =  1.0000000000 LL =   4.6748057600 nd =  0.0007675744, D =   0.57851E+01  0.57851E+01  (  7.35 s,   0.2 h)
 iter    85 lrate =  1.0000000000 LL =   4.6750384168 nd =  0.0007847197, D =   0.57885E+01  0.57885E+01  (  7.28 s,   0.2 h)
 iter    86 lrate =  1.0000000000 LL =   4.6752695541 nd =  0.0007988424, D =   0.57916E+01  0.57916E+01  (  8.37 s,   0.3 h)
 iter    87 lrate =  1.0000000000 LL =   4.6754980754 nd =  0.0008016054, D =   0.57951E+01  0.57951E+01  (  7.71 s,   0.2 h)
 iter    88 lrate =  1.0000000000 LL =   4.6757249288 nd =  0.0008058251, D =   0.57984E+01  0.57984E+01  (  7.67 s,   0.2 h)
 iter    89 lrate =  1.0000000000 LL =   4.6759494349 nd =  0.0008064687, D =   0.58020E+01  0.58020E+01  (  7.43 s,   0.2 h)
 iter    90 lrate =  1.0000000000 LL =   4.6761721988 nd =  0.0008119469, D =   0.58056E+01  0.58056E+01  (  7.81 s,   0.2 h)
 iter    91 lrate =  1.0000000000 LL =   4.6763913155 nd =  0.0008126406, D =   0.58094E+01  0.58094E+01  ( 14.38 s,   0.4 h)
 iter    92 lrate =  1.0000000000 LL =   4.6766079929 nd =  0.0008169488, D =   0.58130E+01  0.58130E+01  (  7.67 s,   0.2 h)
 iter    93 lrate =  1.0000000000 LL =   4.6768206151 nd =  0.0008174300, D =   0.58171E+01  0.58171E+01  (  6.79 s,   0.2 h)
 iter    94 lrate =  1.0000000000 LL =   4.6770300898 nd =  0.0008215370, D =   0.58210E+01  0.58210E+01  (  6.55 s,   0.2 h)
 iter    95 lrate =  1.0000000000 LL =   4.6772372135 nd =  0.0008221190, D =   0.58253E+01  0.58253E+01  (  7.45 s,   0.2 h)
 iter    96 lrate =  1.0000000000 LL =   4.6774413746 nd =  0.0008261347, D =   0.58295E+01  0.58295E+01  (  6.46 s,   0.2 h)
 iter    97 lrate =  1.0000000000 LL =   4.6776421883 nd =  0.0008245377, D =   0.58339E+01  0.58339E+01  (  7.15 s,   0.2 h)
 iter    98 lrate =  1.0000000000 LL =   4.6778418221 nd =  0.0008215856, D =   0.58383E+01  0.58383E+01  (  6.88 s,   0.2 h)
 iter    99 lrate =  1.0000000000 LL =   4.6780388140 nd =  0.0008197918, D =   0.58430E+01  0.58430E+01  (  6.75 s,   0.2 h)
 iter   100 lrate =  1.0000000000 LL =   4.6782344053 nd =  0.0008118332, D =   0.58475E+01  0.58475E+01  (  7.30 s,   0.2 h)
 iter   101 lrate =  1.0000000000 LL =   4.6782542178 nd =  0.0008199747, D =   0.58475E+01  0.58475E+01  ( 15.42 s,   0.4 h)
 iter   102 lrate =  1.0000000000 LL =   4.6782723348 nd =  0.0008230928, D =   0.58475E+01  0.58475E+01  (  7.19 s,   0.2 h)
 iter   103 lrate =  1.0000000000 LL =   4.6782891788 nd =  0.0008249168, D =   0.58475E+01  0.58475E+01  (  7.72 s,   0.2 h)
 iter   104 lrate =  1.0000000000 LL =   4.6783049967 nd =  0.0008262980, D =   0.58475E+01  0.58475E+01  (  7.63 s,   0.2 h)
 iter   105 lrate =  1.0000000000 LL =   4.6783198825 nd =  0.0008275557, D =   0.58475E+01  0.58475E+01  (  7.21 s,   0.2 h)
 iter   106 lrate =  1.0000000000 LL =   4.6783337853 nd =  0.0008287071, D =   0.58475E+01  0.58475E+01  (  7.07 s,   0.2 h)
 iter   107 lrate =  1.0000000000 LL =   4.6785246146 nd =  0.0008161670, D =   0.58529E+01  0.58529E+01  (  7.30 s,   0.2 h)
 iter   108 lrate =  1.0000000000 LL =   4.6787132678 nd =  0.0008076881, D =   0.58579E+01  0.58579E+01  (  7.07 s,   0.2 h)
 iter   109 lrate =  1.0000000000 LL =   4.6789009939 nd =  0.0007957410, D =   0.58633E+01  0.58633E+01  (  6.41 s,   0.2 h)
 iter   110 lrate =  1.0000000000 LL =   4.6790860147 nd =  0.0007816274, D =   0.58688E+01  0.58688E+01  (  6.19 s,   0.2 h)
 iter   111 lrate =  1.0000000000 LL =   4.6792687996 nd =  0.0007663074, D =   0.58745E+01  0.58745E+01  ( 14.72 s,   0.4 h)
 iter   112 lrate =  1.0000000000 LL =   4.6794483598 nd =  0.0007518221, D =   0.58802E+01  0.58802E+01  (  6.52 s,   0.2 h)
 iter   113 lrate =  1.0000000000 LL =   4.6796246138 nd =  0.0007349103, D =   0.58865E+01  0.58865E+01  (  7.07 s,   0.2 h)
 iter   114 lrate =  1.0000000000 LL =   4.6797969229 nd =  0.0007163866, D =   0.58927E+01  0.58927E+01  (  7.22 s,   0.2 h)
 iter   115 lrate =  1.0000000000 LL =   4.6799646313 nd =  0.0006990822, D =   0.58993E+01  0.58993E+01  (  8.00 s,   0.2 h)
 iter   116 lrate =  1.0000000000 LL =   4.6801253058 nd =  0.0006811807, D =   0.59060E+01  0.59060E+01  (  7.12 s,   0.2 h)
 iter   117 lrate =  1.0000000000 LL =   4.6802796746 nd =  0.0006618193, D =   0.59130E+01  0.59130E+01  (  7.47 s,   0.2 h)
 iter   118 lrate =  1.0000000000 LL =   4.6804274093 nd =  0.0006416496, D =   0.59201E+01  0.59201E+01  (  6.70 s,   0.2 h)
 iter   119 lrate =  1.0000000000 LL =   4.6805682297 nd =  0.0006249009, D =   0.59276E+01  0.59276E+01  (  5.52 s,   0.1 h)
 iter   120 lrate =  1.0000000000 LL =   4.6807007385 nd =  0.0006082991, D =   0.59350E+01  0.59350E+01  (  6.07 s,   0.1 h)
 iter   121 lrate =  1.0000000000 LL =   4.6808273545 nd =  0.0005909023, D =   0.59427E+01  0.59427E+01  ( 13.94 s,   0.3 h)
 iter   122 lrate =  1.0000000000 LL =   4.6809460258 nd =  0.0005760193, D =   0.59502E+01  0.59502E+01  (  6.71 s,   0.1 h)
 iter   123 lrate =  1.0000000000 LL =   4.6810588298 nd =  0.0005599184, D =   0.59582E+01  0.59582E+01  (  7.88 s,   0.2 h)
 iter   124 lrate =  1.0000000000 LL =   4.6811642240 nd =  0.0005432882, D =   0.59658E+01  0.59658E+01  (  6.28 s,   0.1 h)
 iter   125 lrate =  1.0000000000 LL =   4.6812640447 nd =  0.0005299913, D =   0.59738E+01  0.59738E+01  (  7.78 s,   0.2 h)
 iter   126 lrate =  1.0000000000 LL =   4.6813570719 nd =  0.0005175061, D =   0.59815E+01  0.59815E+01  (  6.79 s,   0.1 h)
 iter   127 lrate =  1.0000000000 LL =   4.6814460842 nd =  0.0005060032, D =   0.59893E+01  0.59893E+01  (  7.11 s,   0.1 h)
 iter   128 lrate =  1.0000000000 LL =   4.6815302443 nd =  0.0004947613, D =   0.59968E+01  0.59968E+01  (  7.09 s,   0.1 h)
 iter   129 lrate =  1.0000000000 LL =   4.6816106348 nd =  0.0004889419, D =   0.60046E+01  0.60046E+01  (  6.84 s,   0.1 h)
 iter   130 lrate =  1.0000000000 LL =   4.6816863674 nd =  0.0004786399, D =   0.60118E+01  0.60118E+01  (  7.20 s,   0.1 h)
 iter   131 lrate =  1.0000000000 LL =   4.6817610774 nd =  0.0004710714, D =   0.60193E+01  0.60193E+01  ( 13.69 s,   0.3 h)
 iter   132 lrate =  1.0000000000 LL =   4.6818320810 nd =  0.0004668304, D =   0.60263E+01  0.60263E+01  (  6.96 s,   0.1 h)
 iter   133 lrate =  1.0000000000 LL =   4.6819023645 nd =  0.0004593550, D =   0.60335E+01  0.60335E+01  (  6.89 s,   0.1 h)
 iter   134 lrate =  1.0000000000 LL =   4.6819691743 nd =  0.0004575204, D =   0.60403E+01  0.60403E+01  (  7.26 s,   0.1 h)
 iter   135 lrate =  1.0000000000 LL =   4.6820355664 nd =  0.0004539723, D =   0.60473E+01  0.60473E+01  (  7.22 s,   0.1 h)
 iter   136 lrate =  1.0000000000 LL =   4.6820997906 nd =  0.0004490685, D =   0.60537E+01  0.60537E+01  (  7.11 s,   0.1 h)
 iter   137 lrate =  1.0000000000 LL =   4.6821644792 nd =  0.0004459742, D =   0.60603E+01  0.60603E+01  ( 11.00 s,   0.2 h)
 iter   138 lrate =  1.0000000000 LL =   4.6822271539 nd =  0.0004457110, D =   0.60664E+01  0.60664E+01  (  8.88 s,   0.2 h)
 iter   139 lrate =  1.0000000000 LL =   4.6822890630 nd =  0.0004429634, D =   0.60726E+01  0.60726E+01  (  7.11 s,   0.1 h)
 iter   140 lrate =  1.0000000000 LL =   4.6823505661 nd =  0.0004406945, D =   0.60785E+01  0.60785E+01  (  6.77 s,   0.1 h)
 iter   141 lrate =  1.0000000000 LL =   4.6824118182 nd =  0.0004400602, D =   0.60844E+01  0.60844E+01  ( 13.44 s,   0.2 h)
 iter   142 lrate =  1.0000000000 LL =   4.6824724237 nd =  0.0004366615, D =   0.60898E+01  0.60898E+01  (  6.71 s,   0.1 h)
 iter   143 lrate =  1.0000000000 LL =   4.6825340248 nd =  0.0004368436, D =   0.60955E+01  0.60955E+01  (  6.52 s,   0.1 h)
 iter   144 lrate =  1.0000000000 LL =   4.6825942645 nd =  0.0004381573, D =   0.61008E+01  0.61008E+01  (  6.58 s,   0.1 h)
 iter   145 lrate =  1.0000000000 LL =   4.6826558953 nd =  0.0004359155, D =   0.61060E+01  0.61060E+01  (  7.44 s,   0.1 h)
 iter   146 lrate =  1.0000000000 LL =   4.6827164919 nd =  0.0004354033, D =   0.61109E+01  0.61109E+01  (  8.20 s,   0.1 h)
 iter   147 lrate =  1.0000000000 LL =   4.6827783022 nd =  0.0004373337, D =   0.61162E+01  0.61162E+01  (  8.41 s,   0.1 h)
 iter   148 lrate =  1.0000000000 LL =   4.6828389513 nd =  0.0004356176, D =   0.61206E+01  0.61206E+01  (  7.62 s,   0.1 h)
 iter   149 lrate =  1.0000000000 LL =   4.6829014499 nd =  0.0004363283, D =   0.61256E+01  0.61256E+01  (  7.53 s,   0.1 h)
 iter   150 lrate =  1.0000000000 LL =   4.6829629039 nd =  0.0004383207, D =   0.61299E+01  0.61299E+01  (  6.92 s,   0.1 h)
 iter   151 lrate =  1.0000000000 LL =   4.6830256988 nd =  0.0004369052, D =   0.61346E+01  0.61346E+01  ( 16.05 s,   0.2 h)
 iter   152 lrate =  1.0000000000 LL =   4.6830888421 nd =  0.0004380422, D =   0.61388E+01  0.61388E+01  (  8.49 s,   0.1 h)
 iter   153 lrate =  1.0000000000 LL =   4.6831527286 nd =  0.0004411297, D =   0.61432E+01  0.61432E+01  (  7.62 s,   0.1 h)
 iter   154 lrate =  1.0000000000 LL =   4.6832160285 nd =  0.0004410215, D =   0.61470E+01  0.61470E+01  (  6.16 s,   0.1 h)
 iter   155 lrate =  1.0000000000 LL =   4.6832817149 nd =  0.0004416147, D =   0.61513E+01  0.61513E+01  (  7.01 s,   0.1 h)
 iter   156 lrate =  1.0000000000 LL =   4.6833467468 nd =  0.0004426827, D =   0.61550E+01  0.61550E+01  (  7.16 s,   0.1 h)
 iter   157 lrate =  1.0000000000 LL =   4.6834133019 nd =  0.0004443760, D =   0.61588E+01  0.61588E+01  (  6.23 s,   0.1 h)
 iter   158 lrate =  1.0000000000 LL =   4.6834794391 nd =  0.0004453693, D =   0.61625E+01  0.61625E+01  (  7.02 s,   0.1 h)
 iter   159 lrate =  1.0000000000 LL =   4.6835470681 nd =  0.0004461681, D =   0.61664E+01  0.61664E+01  (  7.15 s,   0.1 h)
 iter   160 lrate =  1.0000000000 LL =   4.6836144904 nd =  0.0004455203, D =   0.61696E+01  0.61696E+01  (  6.81 s,   0.1 h)
 iter   161 lrate =  1.0000000000 LL =   4.6836836327 nd =  0.0004466028, D =   0.61734E+01  0.61734E+01  ( 14.89 s,   0.2 h)
 iter   162 lrate =  1.0000000000 LL =   4.6837513511 nd =  0.0004478166, D =   0.61766E+01  0.61766E+01  (  6.26 s,   0.1 h)
 iter   163 lrate =  1.0000000000 LL =   4.6838202534 nd =  0.0004459096, D =   0.61801E+01  0.61801E+01  (  7.01 s,   0.1 h)
 iter   164 lrate =  1.0000000000 LL =   4.6838892186 nd =  0.0004483410, D =   0.61833E+01  0.61833E+01  (  6.72 s,   0.1 h)
 iter   165 lrate =  1.0000000000 LL =   4.6839595898 nd =  0.0004499500, D =   0.61867E+01  0.61867E+01  (  7.18 s,   0.1 h)
 iter   166 lrate =  1.0000000000 LL =   4.6840285064 nd =  0.0004488635, D =   0.61896E+01  0.61896E+01  (  7.00 s,   0.1 h)
 iter   167 lrate =  1.0000000000 LL =   4.6840996996 nd =  0.0004499717, D =   0.61929E+01  0.61929E+01  (  6.91 s,   0.1 h)
 iter   168 lrate =  1.0000000000 LL =   4.6841694100 nd =  0.0004523852, D =   0.61958E+01  0.61958E+01  (  6.72 s,   0.1 h)
 iter   169 lrate =  1.0000000000 LL =   4.6842401775 nd =  0.0004505474, D =   0.61989E+01  0.61989E+01  (  6.34 s,   0.1 h)
 iter   170 lrate =  1.0000000000 LL =   4.6843110566 nd =  0.0004494554, D =   0.62018E+01  0.62018E+01  (  7.13 s,   0.1 h)
 iter   171 lrate =  1.0000000000 LL =   4.6843814175 nd =  0.0004494735, D =   0.62049E+01  0.62049E+01  ( 14.13 s,   0.1 h)
 iter   172 lrate =  1.0000000000 LL =   4.6844506459 nd =  0.0004469310, D =   0.62076E+01  0.62076E+01  (  8.00 s,   0.1 h)
 iter   173 lrate =  1.0000000000 LL =   4.6845218466 nd =  0.0004461520, D =   0.62107E+01  0.62107E+01  (  7.68 s,   0.1 h)
 iter   174 lrate =  1.0000000000 LL =   4.6845903436 nd =  0.0004485933, D =   0.62134E+01  0.62134E+01  (  7.15 s,   0.1 h)
 iter   175 lrate =  1.0000000000 LL =   4.6846595387 nd =  0.0004428608, D =   0.62162E+01  0.62162E+01  (  6.55 s,   0.0 h)
 iter   176 lrate =  1.0000000000 LL =   4.6847286772 nd =  0.0004418736, D =   0.62188E+01  0.62188E+01  (  7.41 s,   0.0 h)
 iter   177 lrate =  1.0000000000 LL =   4.6847974573 nd =  0.0004428941, D =   0.62216E+01  0.62216E+01  (  6.82 s,   0.0 h)
 iter   178 lrate =  1.0000000000 LL =   4.6848646884 nd =  0.0004404052, D =   0.62240E+01  0.62240E+01  (  6.72 s,   0.0 h)
 iter   179 lrate =  1.0000000000 LL =   4.6849329334 nd =  0.0004399785, D =   0.62268E+01  0.62268E+01  (  6.16 s,   0.0 h)
