 minimum eigenvalues =   1.401522261953711E-006  1.437315477328835E-006
  2.059683517993595E-006
 maximum eigenvalues =   5.509697571974145E-002  1.154547815060991E-002
  4.006196709648658E-003
 num eigs kept =           80
 minimum eigenvalues =   1.401522261953711E-006  1.437315477328835E-006
  2.059683517993595E-006
 maximum eigenvalues =   5.509697571974145E-002  1.154547815060991E-002
  4.006196709648658E-003
 num eigs kept =           80
 iter     1 lrate =  0.0500000000 LL =   3.5441298211 nd =  0.0608583601, D =   0.26607E-01  0.26607E-01  (  6.30 s,   0.3 h)
 iter    27 lrate =  0.0125000000 LL =   4.3031906254 nd =  0.0887639003, D =   0.59894E+01  0.59894E+01  (  6.94 s,   0.3 h)
 iter    28 lrate =  0.0125000000 LL =   4.2994997094 nd =  0.2063248364, D =   0.60221E+01  0.60221E+01  (  6.83 s,   0.3 h)
 iter    29 lrate =  0.0125000000 LL =   4.2866938703 nd =  0.1522024682, D =   0.61014E+01  0.61014E+01  (  7.06 s,   0.3 h)
 iter    30 lrate =  0.0125000000 LL =   4.3041365653 nd =  0.0779728238, D =   0.61268E+01  0.61268E+01  (  6.26 s,   0.3 h)
 iter    31 lrate =  0.0125000000 LL =   4.3023651796 nd =  0.2101101942, D =   0.61719E+01  0.61719E+01  ( 13.71 s,   0.6 h)
 iter    32 lrate =  0.0062500000 LL =   4.3031526280 nd =  0.1978765476, D =   0.61934E+01  0.61934E+01  (  6.75 s,   0.3 h)
 iter    33 lrate =  0.0062500000 LL =   4.3043352452 nd =  0.1915255853, D =   0.62177E+01  0.62177E+01  (  6.15 s,   0.3 h)
 iter    34 lrate =  0.0062500000 LL =   4.3043953842 nd =  0.1972755504, D =   0.62372E+01  0.62372E+01  (  5.88 s,   0.3 h)
 iter    35 lrate =  0.0062500000 LL =   4.3044273513 nd =  0.1969167476, D =   0.62616E+01  0.62616E+01  (  6.12 s,   0.3 h)
 iter    36 lrate =  0.0062500000 LL =   4.3049258940 nd =  0.1915534028, D =   0.62800E+01  0.62800E+01  (  6.36 s,   0.3 h)
 iter    37 lrate =  0.0062500000 LL =   4.3054860135 nd =  0.1912588778, D =   0.63037E+01  0.63037E+01  (  7.36 s,   0.3 h)
 iter    38 lrate =  0.0062500000 LL =   4.3053704199 nd =  0.1949759267, D =   0.63220E+01  0.63220E+01  (  6.55 s,   0.3 h)
 iter    39 lrate =  0.0062500000 LL =   4.3056038074 nd =  0.1925506344, D =   0.63452E+01  0.63452E+01  (  5.90 s,   0.3 h)
 iter    40 lrate =  0.0062500000 LL =   4.3059781933 nd =  0.1907112235, D =   0.63629E+01  0.63629E+01  (  6.02 s,   0.3 h)
 iter    41 lrate =  0.0062500000 LL =   4.3062187603 nd =  0.1921224247, D =   0.63855E+01  0.63855E+01  ( 12.89 s,   0.6 h)
 iter    42 lrate =  0.0062500000 LL =   4.3061927006 nd =  0.1935248086, D =   0.64030E+01  0.64030E+01  (  5.77 s,   0.3 h)
 iter    43 lrate =  0.0062500000 LL =   4.3065081267 nd =  0.1908921783, D =   0.64250E+01  0.64250E+01  (  6.06 s,   0.3 h)
 iter    44 lrate =  0.0062500000 LL =   4.3067749642 nd =  0.1914008822, D =   0.64421E+01  0.64421E+01  (  5.83 s,   0.3 h)
 iter    45 lrate =  0.0062500000 LL =   4.3068653082 nd =  0.1926901433, D =   0.64636E+01  0.64636E+01  (  5.79 s,   0.2 h)
 iter    46 lrate =  0.0062500000 LL =   4.3069609689 nd =  0.1924207507, D =   0.64803E+01  0.64803E+01  (  6.18 s,   0.3 h)
 iter    47 lrate =  0.0062500000 LL =   4.3072838607 nd =  0.1905557286, D =   0.65013E+01  0.65013E+01  (  6.09 s,   0.3 h)
 iter    48 lrate =  0.0062500000 LL =   4.3074321238 nd =  0.1920728583, D =   0.65175E+01  0.65175E+01  (  5.46 s,   0.2 h)
 iter    49 lrate =  0.0062500000 LL =   4.3075166272 nd =  0.1924625867, D =   0.65381E+01  0.65381E+01  (  5.48 s,   0.2 h)
 iter    50 lrate =  0.0062500000 LL =   4.3076671545 nd =  0.0026815613, D =   0.65539E+01  0.65539E+01  (  6.38 s,   0.3 h)
 iter    51 lrate =  0.0125000000 LL =   4.3078121530 nd =  0.0026814741, D =   0.65566E+01  0.65566E+01  ( 13.87 s,   0.6 h)
 iter    52 lrate =  0.0250000000 LL =   4.3080590292 nd =  0.0026754485, D =   0.65619E+01  0.65619E+01  (  6.32 s,   0.3 h)
 iter    53 lrate =  0.0500000000 LL =   4.3085110680 nd =  0.0026629994, D =   0.65725E+01  0.65725E+01  (  5.97 s,   0.2 h)
 iter    54 lrate =  0.1000000000 LL =   4.3093731272 nd =  0.0026497857, D =   0.65934E+01  0.65934E+01  (  6.36 s,   0.3 h)
 iter    55 lrate =  0.2000000000 LL =   4.3110436350 nd =  0.0026812267, D =   0.66345E+01  0.66345E+01  (  5.99 s,   0.2 h)
 iter    56 lrate =  0.3000000000 LL =   4.3134900536 nd =  0.0027531582, D =   0.66932E+01  0.66932E+01  (  6.50 s,   0.3 h)
 iter    57 lrate =  0.4000000000 LL =   4.3164774970 nd =  0.0027184679, D =   0.67655E+01  0.67655E+01  (  6.09 s,   0.2 h)
 iter    58 lrate =  0.5000000000 LL =   4.3193087347 nd =  0.0024122093, D =   0.68462E+01  0.68462E+01  (  5.38 s,   0.2 h)
 iter    59 lrate =  0.6000000000 LL =   4.3211868175 nd =  0.0020508158, D =   0.69301E+01  0.69301E+01  (  5.14 s,   0.2 h)
 iter    60 lrate =  0.7000000000 LL =   4.3223812366 nd =  0.0018594748, D =   0.70128E+01  0.70128E+01  (  5.31 s,   0.2 h)
 iter    61 lrate =  0.8000000000 LL =   4.3233885597 nd =  0.0017279672, D =   0.70908E+01  0.70908E+01  ( 12.89 s,   0.5 h)
 iter    62 lrate =  0.9000000000 LL =   4.3243223181 nd =  0.0016124892, D =   0.71616E+01  0.71616E+01  (  4.69 s,   0.2 h)
 iter    63 lrate =  1.0000000000 LL =   4.3251992349 nd =  0.0015074401, D =   0.72239E+01  0.72239E+01  (  4.49 s,   0.2 h)
 iter    64 lrate =  1.0000000000 LL =   4.3259612750 nd =  0.0014197249, D =   0.72723E+01  0.72723E+01  (  3.74 s,   0.1 h)
 iter    65 lrate =  1.0000000000 LL =   4.3266412187 nd =  0.0013488775, D =   0.73104E+01  0.73104E+01  (  3.78 s,   0.1 h)
 iter    66 lrate =  1.0000000000 LL =   4.3272646139 nd =  0.0012865765, D =   0.73407E+01  0.73407E+01  (  4.34 s,   0.2 h)
 iter    67 lrate =  1.0000000000 LL =   4.3278461651 nd =  0.0012415054, D =   0.73652E+01  0.73652E+01  (  4.51 s,   0.2 h)
 iter    68 lrate =  1.0000000000 LL =   4.3283947756 nd =  0.0012050394, D =   0.73850E+01  0.73850E+01  (  4.28 s,   0.2 h)
 iter    69 lrate =  1.0000000000 LL =   4.3289131678 nd =  0.0012056238, D =   0.74011E+01  0.74011E+01  (  4.79 s,   0.2 h)
 iter    70 lrate =  1.0000000000 LL =   4.3293966468 nd =  0.0011878949, D =   0.74140E+01  0.74140E+01  (  4.85 s,   0.2 h)
 iter    71 lrate =  1.0000000000 LL =   4.3298461173 nd =  0.0011950560, D =   0.74246E+01  0.74246E+01  ( 11.23 s,   0.4 h)
 iter    72 lrate =  1.0000000000 LL =   4.3302699966 nd =  0.0011659452, D =   0.74330E+01  0.74330E+01  (  4.74 s,   0.2 h)
 iter    73 lrate =  1.0000000000 LL =   4.3306855450 nd =  0.0011679059, D =   0.74396E+01  0.74396E+01  (  4.02 s,   0.1 h)
 iter    74 lrate =  1.0000000000 LL =   4.3310778127 nd =  0.0011557380, D =   0.74448E+01  0.74448E+01  (  4.36 s,   0.2 h)
 iter    75 lrate =  1.0000000000 LL =   4.3314664891 nd =  0.0012102854, D =   0.74489E+01  0.74489E+01  (  4.54 s,   0.2 h)
 iter    76 lrate =  1.0000000000 LL =   4.3318295866 nd =  0.0012121707, D =   0.74521E+01  0.74521E+01  (  4.37 s,   0.2 h)
 iter    77 lrate =  1.0000000000 LL =   4.3322106784 nd =  0.0012456848, D =   0.74546E+01  0.74546E+01  (  4.03 s,   0.1 h)
 iter    78 lrate =  1.0000000000 LL =   4.3325588921 nd =  0.0012134337, D =   0.74568E+01  0.74568E+01  (  4.08 s,   0.1 h)
 iter    79 lrate =  1.0000000000 LL =   4.3329335082 nd =  0.0011936588, D =   0.74586E+01  0.74586E+01  (  4.15 s,   0.1 h)
 iter    80 lrate =  1.0000000000 LL =   4.3332654069 nd =  0.0011631674, D =   0.74606E+01  0.74606E+01  (  4.19 s,   0.1 h)
 iter    81 lrate =  1.0000000000 LL =   4.3336101097 nd =  0.0011628437, D =   0.74625E+01  0.74625E+01  ( 10.76 s,   0.4 h)
 iter    82 lrate =  1.0000000000 LL =   4.3339107023 nd =  0.0011238465, D =   0.74649E+01  0.74649E+01  (  3.37 s,   0.1 h)
 iter    83 lrate =  1.0000000000 LL =   4.3342304617 nd =  0.0011060341, D =   0.74674E+01  0.74674E+01  (  2.81 s,   0.1 h)
